"path","bytes","status","signer_subject","has_timestamp","package"
"site-packages\_rocm_sdk_libraries\bin\rocsparse.dll","69463040","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\rocsparseio-info.exe","112128","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_autotune_plugin.dll","166400","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_bad_api_version_heuristic_plugin.dll","52224","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_duplicate_id_a_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_duplicate_id_b_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_duplicate_policy_id_a_plugin.dll","52224","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_duplicate_policy_id_b_plugin.dll","52224","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_empty_name_heuristic_plugin.dll","52224","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_execute_fails_plugin.dll","161280","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_good_heuristic_plugin.dll","47104","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_good_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_incompatible_version_plugin.dll","160768","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_incomplete_api_plugin.dll","9216","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_incomplete_heuristic_api_plugin.dll","10240","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_knob_constraint_validation_plugin.dll","164864","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_knobs_plugin.dll","170496","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_malformed_version_plugin.dll","160768","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_no_applicable_engines_a_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_no_applicable_engines_b_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_no_optional_heuristic_plugin.dll","33792","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_override_implementing_plugin.dll","165888","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_override_omitting_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_pass_by_value_plugin.dll","160768","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_pass_by_value_recorder_plugin.dll","178176","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_second_override_plugin.dll","165888","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_version_liar_plugin.dll","161280","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\custom\test_version_zero_plugin.dll","160768","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\default\test_good_default_plugin.dll","162304","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\hipdnn_test_no_api_version_plugin_name.dll","35328","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\hipdnn_test_plugin1.dll","36864","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_rocm_sdk_libraries\bin\test_plugins\hipdnn_test_plugin2.dll","36864","NotSigned","","no","_rocm_sdk_libraries"
"site-packages\_soundfile_data\libsndfile_x64.dll","2364416","NotSigned","","no","_soundfile_data"
"site-packages\charset_normalizer\cd.cp312-win_amd64.pyd","117248","NotSigned","","no","charset_normalizer"
"site-packages\charset_normalizer\md.cp312-win_amd64.pyd","193536","NotSigned","","no","charset_normalizer"
"site-packages\google\_upb\_message.pyd","745134","NotSigned","","no","google"
"site-packages\grpc\_cython\cygrpc.cp312-win_amd64.pyd","11177984","NotSigned","","no","grpc"
"site-packages\hf_xet\hf_xet.pyd","9499136","NotSigned","","no","hf_xet"
"site-packages\httptools\parser\parser.cp312-win_amd64.pyd","124416","NotSigned","","no","httptools"
"site-packages\httptools\parser\url_parser.cp312-win_amd64.pyd","52224","NotSigned","","no","httptools"
"site-packages\llvmlite\binding\llvmlite.dll","120369664","NotSigned","","no","llvmlite"
"site-packages\llvmlite.libs\msvcp140-8f141b4454fa78db34bc1f28c571b4da.dll","557648","Valid","CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","yes","llvmlite.libs"
"site-packages\markupsafe\_speedups.cp312-win_amd64.pyd","13312","NotSigned","","no","markupsafe"
"site-packages\msgpack\_cmsgpack.cp312-win_amd64.pyd","126464","NotSigned","","no","msgpack"
"site-packages\numba\_devicearray.cp312-win_amd64.pyd","12288","NotSigned","","no","numba"
"site-packages\numba\_dispatcher.cp312-win_amd64.pyd","41472","NotSigned","","no","numba"
"site-packages\numba\_dynfunc.cp312-win_amd64.pyd","16896","NotSigned","","no","numba"
"site-packages\numba\_helperlib.cp312-win_amd64.pyd","203776","NotSigned","","no","numba"
"site-packages\numba\core\runtime\_nrt_python.cp312-win_amd64.pyd","25088","NotSigned","","no","numba"
"site-packages\numba\core\typeconv\_typeconv.cp312-win_amd64.pyd","20480","NotSigned","","no","numba"
"site-packages\numba\cuda\cudadrv\_extras.cp312-win_amd64.pyd","10752","NotSigned","","no","numba"
"site-packages\numba\experimental\jitclass\_box.cp312-win_amd64.pyd","12800","NotSigned","","no","numba"
"site-packages\numba\mviewbuf.cp312-win_amd64.pyd","14848","NotSigned","","no","numba"
"site-packages\numba\np\ufunc\_internal.cp312-win_amd64.pyd","23552","NotSigned","","no","numba"
"site-packages\numba\np\ufunc\_num_threads.cp312-win_amd64.pyd","10752","NotSigned","","no","numba"
"site-packages\numba\np\ufunc\omppool.cp312-win_amd64.pyd","36352","NotSigned","","no","numba"
"site-packages\numba\np\ufunc\tbbpool.cp312-win_amd64.pyd","46592","NotSigned","","no","numba"
"site-packages\numba\np\ufunc\workqueue.cp312-win_amd64.pyd","38400","NotSigned","","no","numba"
"site-packages\numpy\_core\_multiarray_tests.cp312-win_amd64.pyd","65536","NotSigned","","no","numpy"
